37222	1672
13705	1672
55708	1672
39457	1672
41196	1672
3669	1672
7276	1672
21583	1672
58237	2198
28432	1659
10254	2147
36486	1267
42325	2147
62806	1939
14738	843
7090	671
47982	671
23350	1267
27291	1073
47635	2150
39376	1731
35947	1179
28208	663
13762	485
5508	568
43512	1473
22638	1473
37421	2220
47867	2220
26315	1267
30950	1267
31437	1267
11472	1989
14347	1989
2471	1989
57191	1989
42978	1989
4671	1393
57202	1393
48389	1393
24460	1393
8348	1393
54702	671
36792	1939
56029	671
37129	419
3585	2041
39608	2041
19806	2041
4128	1687
55260	671
53011	2112
11373	1939
10889	1381
59686	295
42323	1655
49961	1267
53324	462
17519	462
37344	1393
60332	1393
12928	1393
22493	2166
41431	462
51065	1974
24529	1939
28006	1939
27587	1336
8761	1336
60407	1336
2837	1267
55360	1267
41532	1267
21073	1974
1064	462
7594	462
9120	597
50345	671
23386	1393
23462	1393
24914	1393
23409	1393
47250	462
50294	462
23214	462
22388	597
24235	1349
8028	462
9210	671
62528	671
36876	671
42854	2198
54218	1265
326	54
29888	1126
33791	508
42082	103
13311	192
33767	403
54793	1571
49169	1189
18694	1016
14122	1158
15041	2084
47501	439
10118	1959
51372	439
22093	597
15082	462
55121	462
36300	1726
21267	719
58183	719
62106	2275
35407	597
28163	1393
41949	1393
5897	1393
1377	568
29547	595
2540	92
40286	1230
27693	1230
22942	1126
36161	500
37802	500
9471	2226
5889	2018
57663	2275
22399	2275
11546	63
18707	1073
26151	259
3468	671
58494	850
50735	597
40004	259
40862	1939
60918	1393
21039	462
14544	2220
16050	590
26410	2041
19572	1358
61488	1358
13452	320
25581	1073
56728	2198
44567	812
46376	812
6851	812
35906	1974
12906	259
26852	419
61087	1939
17954	2083
19389	1073
15288	1267
51287	497
27910	1965
43970	1939
22500	142
282	16
23264	813
36045	1578
46809	2292
35759	1473
22431	167
57299	1355
57356	1953
61316	2220
42508	2220
391	1267
24813	1974
51150	597
54713	2198
27029	1126
35564	462
43782	462
50479	462
44054	1355
28565	1355
14287	1355
33156	1355
37675	1355
57486	1355
8949	1355
9073	1355
10419	1355
16958	1355
47520	1566
13591	1120
45528	1732
2417	462
10091	1182
54825	1286
22890	1286
58231	1286
58123	40
27522	1047
19249	462
55870	40
55439	1974
39296	2220
985	2220
3768	2220
61146	40
8933	2162
47793	1993
1138	1431
59607	821
62265	2132
29298	2132
7982	724
38155	724
54039	724
8613	724
